5-Gram,COUNT,RelativeFrequencies(%)
psies,9,0.000265
psing,9,0.000265
psism,3,0.000088
psize,5,0.000147
psizi,4,0.000118
cwoss,1,0.000029
pskin,19,0.000560
psles,20,0.000590
psodi,1,0.000029
psody,1,0.000029
psons,2,0.000059
cwuit,1,0.000029
pstaf,4,0.000118
pstai,80,0.002359
pstan,14,0.000413
pstar,2,0.000059
pstea,2,0.000059
pster,1,0.000029
pstic,2,0.000059
pston,3,0.000088
pstoo,3,0.000088
pstre,3,0.000088
pstri,2,0.000059
pstro,1,0.000029
psuds,1,0.000029
psych,23,0.000678
psyra,1,0.000029
ptabl,67,0.001976
ptabo,1,0.000029
ptacl,2,0.000059
ptain,1080,0.031850
ptake,2,0.000059
ptanc,12,0.000354
ptati,94,0.002772
ptcie,1,0.000029
ptedl,3,0.000088
pteds,1,0.000029
ptemb,124,0.003657
pters,34,0.001003
ptest,1,0.000029
pteth,11,0.000324
ptfor,1,0.000029
pthor,1,0.000029
pthru,2,0.000059
ptial,4,0.000118
ptian,164,0.004836
ptibi,5,0.000147
ptibl,104,0.003067
ptica,6,0.000177
ptici,5,0.000147
ptics,3,0.000088
ptied,35,0.001032
pties,3,0.000088
ptile,5,0.000147
ptimi,7,0.000206
ptine,13,0.000383
pting,134,0.003952
ption,708,0.020879
ptiou,1,0.000029
ptise,6,0.000177
ptism,46,0.001357
ptist,20,0.000590
ptitu,14,0.000413
ptius,2,0.000059
ptiva,5,0.000147
ptive,239,0.007048
ptivi,218,0.006429
ptize,80,0.002359
ptizi,6,0.000177
ptizo,1,0.000029
ptnes,1,0.000029
ptoed,1,0.000029
ptole,82,0.002418
ptolo,1,0.000029
ptoms,17,0.000501
ptori,9,0.000265
ptors,7,0.000206
ptory,4,0.000118
ptown,2,0.000059
ptrap,1,0.000029
ptred,1,0.000029
ptres,10,0.000295
ptuag,4,0.000118
ptune,60,0.001769
ptuou,70,0.002064
ptura,2,0.000059
pture,403,0.011885
pturi,14,0.000413
pturn,4,0.000118
pturo,33,0.000973
ptyha,1,0.000029
ptyin,8,0.000236
cyalu,1,0.000029
cyaxa,1,0.000029
cycla,2,0.000059
cycle,4,0.000118
cycli,4,0.000118
cyclo,34,0.001003
cydon,1,0.000029
cygne,2,0.000059
publi,480,0.014156
pucci,1,0.000029
puces,1,0.000029
pucke,30,0.000885
cying,17,0.000501
puddi,28,0.000826
puddl,10,0.000295
puden,42,0.001239
pudgy,2,0.000059
pudia,6,0.000177
puebl,1,0.000029
pueri,1,0.000029
puert,4,0.000118
puffe,35,0.001032
puffi,23,0.000678
puffs,12,0.000354
puffy,7,0.000206
cylin,11,0.000324
cylla,17,0.000501
cylle,1,0.000029
pugac,2,0.000059
pugil,2,0.000059
pugna,19,0.000560
pugne,2,0.000059
pugno,6,0.000177
cymba,24,0.000708
cymit,1,0.000029
cymop,1,0.000029
puhse,1,0.000029
cynia,3,0.000088
cynic,10,0.000295
cynos,3,0.000088
puich,2,0.000059
cynth,7,0.000206
puise,1,0.000029
puisi,3,0.000088
puiss,3,0.000088
cyphe,2,0.000059
cypre,11,0.000324
cypri,5,0.000147
cypru,20,0.000590
pukhi,4,0.000118
pukho,1,0.000029
pukka,1,0.000029
pulac,5,0.000147
pular,73,0.002153
pulat,63,0.001858
pulch,106,0.003126
pulci,1,0.000029
pulen,8,0.000236
pulet,2,0.000059
pulfi,6,0.000177
pulia,4,0.000118
pulis,1,0.000029
pulle,164,0.004836
pulli,78,0.002300
pulls,3,0.000088
pulos,1,0.000029
pulou,37,0.001091
pulpi,25,0.000737
pulpy,1,0.000029
pulsa,3,0.000088
pulse,135,0.003981
pulsi,39,0.001150
pulso,5,0.000147
pults,2,0.000059
pultu,6,0.000177
pulve,2,0.000059
cyren,14,0.000413
cyril,14,0.000413
cyrin,1,0.000029
cyros,1,0.000029
pumbl,165,0.004866
cyrus,40,0.001180
pumme,10,0.000295
pumpe,2,0.000059
pumpi,3,0.000088
pumpk,1,0.000029
pumps,18,0.000531
punch,32,0.000944
punct,39,0.001150
punge,6,0.000177
pungi,2,0.000059
punis,445,0.013123
punit,7,0.000206
punta,1,0.000029
cythe,15,0.000442
cythi,10,0.000295
cytho,3,0.000088
cytus,4,0.000118
pupel,3,0.000088
pupil,37,0.001091
pupiu,2,0.000059
puppe,17,0.000501
puppi,2,0.000059
puppy,5,0.000147
cywor,1,0.000029
purbl,1,0.000029
purch,77,0.002271
puref,1,0.000029
purel,24,0.000708
purer,5,0.000147
pures,40,0.001180
purga,12,0.000354
purge,30,0.000885
purgi,2,0.000059
purif,94,0.002772
purio,4,0.000118
purit,65,0.001917
purlo,2,0.000059
purne,7,0.000206
purni,3,0.000088
purns,1,0.000029
purpl,127,0.003745
purpo,604,0.017812
purre,20,0.000590
purri,11,0.000324
purse,93,0.002743
pursh,2,0.000059
pursi,3,0.000088
pursu,579,0.017075
purte,4,0.000118
purti,1,0.000029
purts,4,0.000118
purty,1,0.000029
purul,1,0.000029
purve,1,0.000029
purvi,1,0.000029
purzh,1,0.000029
pusan,6,0.000177
pusch,1,0.000029
pushd,1,0.000029
pushe,179,0.005279
pushi,63,0.001858
pushk,3,0.000088
pusie,1,0.000029
pusil,4,0.000118
putab,14,0.000413
putat,167,0.004925
puted,100,0.002949
puteo,2,0.000059
puter,5,0.000147
putes,30,0.000885
putet,2,0.000059
putia,15,0.000442
putie,21,0.000619
putin,29,0.000855
putip,5,0.000147
putre,2,0.000059
putri,5,0.000147
putte,24,0.000708
putti,321,0.009467
puzzl,74,0.002182
czars,1,0.000029
czart,4,0.000118
czech,1,0.000029
pward,159,0.004689
pwavi,1,0.000029
pwies,1,0.000029
pwinc,3,0.000088
pwoce,1,0.000029
pwomo,1,0.000029
pwono,1,0.000029
pwove,1,0.000029
pwovi,2,0.000059
pwrec,18,0.000531
pwrig,7,0.000206
pyard,1,0.000029
pygar,1,0.000029
pygla,1,0.000029
pygme,2,0.000059
pygmi,1,0.000029
pyhea,1,0.000029
pyhol,1,0.000029
pying,42,0.001239
pyjam,2,0.000059
pylad,1,0.000029
pylae,2,0.000059
pylia,3,0.000088
pylos,44,0.001298
pylot,2,0.000059
pylus,2,0.000059
pyram,32,0.000944
pyrea,1,0.000029
pyren,5,0.000147
pyres,1,0.000029
pyrig,26,0.000767
pyrip,1,0.000029
pyrot,7,0.000206
pyrrh,3,0.000088
pyrus,1,0.000029
pysee,1,0.000029
pytha,2,0.000059
pytho,16,0.000472
dabad,1,0.000029
dabar,4,0.000118
dabbe,1,0.000029
dabbl,2,0.000059
daber,3,0.000088
dabia,1,0.000029
dabir,11,0.000324
dable,53,0.001563
dably,1,0.000029
dabol,2,0.000059
dabou,6,0.000177
dabri,1,0.000029
dacca,1,0.000029
dacem,1,0.000029
dacer,1,0.000029
dache,7,0.000206
dacio,16,0.000472
dacit,20,0.000590
daciu,1,0.000029
dacre,1,0.000029
dacti,1,0.000029
dadan,6,0.000177
daddy,7,0.000206
dadoe,1,0.000029
dadre,2,0.000059
daele,1,0.000029
daemo,13,0.000383
daero,1,0.000029
daffa,1,0.000029
daffo,2,0.000059
dafil,3,0.000088
dagas,21,0.000619
daged,32,0.000944
dages,8,0.000236
dagge,53,0.001563
daggo,37,0.001091
daghe,1,0.000029
dagog,3,0.000088
dagon,20,0.000590
dagor,4,0.000118
dahed,1,0.000029
dahil,1,0.000029
dahli,1,0.000029
dahra,2,0.000059
daias,6,0.000177
daill,2,0.000059
daily,144,0.004247
daine,50,0.001475
dainf,11,0.000324
daini,3,0.000088
dains,8,0.000236
daint,44,0.001298
dairy,4,0.000118
daisi,4,0.000118
daisy,4,0.000118
daite,1,0.000029
dakow,12,0.000354
dalai,6,0.000177
dalaj,2,0.000059
dalcl,45,0.001327
dalel,1,0.000029
dalen,16,0.000472
dales,11,0.000324
dalet,7,0.000206
dalfs,4,0.000118
dalga,1,0.000029
dalgo,6,0.000177
dalia,7,0.000206
dalil,9,0.000265
dalin,2,0.000059
dalis,4,0.000118
daliz,39,0.001150
dalla,28,0.000826
dalli,8,0.000236
dally,4,0.000118
dalma,6,0.000177
dalou,3,0.000088
dalum,2,0.000059
dalus,16,0.000472
damag,103,0.003038
daman,29,0.000855
damar,5,0.000147
damas,101,0.002979
damen,16,0.000472
dames,7,0.000206
damia,1,0.000029
damie,1,0.000029
damit,3,0.000088
damme,2,0.000059
damna,11,0.000324
damnd,1,0.000029
damne,19,0.000560
damni,1,0.000029
damoc,1,0.000029
damon,2,0.000059
dampe,3,0.000088
dampi,1,0.000029
dampl,1,0.000029
dampn,6,0.000177
damps,1,0.000029
damro,9,0.000265
damse,174,0.005131
danaa,10,0.000295
danas,1,0.000029
danby,1,0.000029
dance,481,0.014185
danci,110,0.003244
dancy,1,0.000029
dandi,6,0.000177
dandl,3,0.000088
dando,1,0.000029
dandy,7,0.000206
danel,3,0.000088
danes,5,0.000147
dange,767,0.022619
dangl,24,0.000708
dania,1,0.000029
danic,14,0.000413
danie,193,0.005692
danil,12,0.000354
danim,3,0.000088
danis,9,0.000265
danna,2,0.000059
danov,11,0.000324
danse,1,0.000029
dante,10,0.000295
danti,4,0.000118
dantl,32,0.000944
dants,70,0.002064
danub,17,0.000501
danum,1,0.000029
danur,1,0.000029
danus,1,0.000029
danzi,2,0.000059
daphc,2,0.000059
daphn,2,0.000059
dappl,129,0.003804
dapta,2,0.000059
dapte,21,0.000619
dapti,3,0.000088
darai,1,0.000029
darbi,1,0.000029
darch,2,0.000059
darco,1,0.000029
darcy,1,0.000029
darda,4,0.000118
dards,55,0.001622
dared,136,0.004011
daren,8,0.000236
dares,42,0.001239
daret,2,0.000059
dareu,4,0.000118
darez,21,0.000619
daria,1,0.000029
darie,13,0.000383
darin,67,0.001976
darit,1,0.000029
dariu,39,0.001150
darke,121,0.003568
darki,2,0.000059
darkl,37,0.001091
darkn,626,0.018461
darks,9,0.000265
darli,51,0.001504
darme,4,0.000118
darmo,1,0.000029
darne,1,0.000029
darni,3,0.000088
darno,1,0.000029
daron,1,0.000029
darra,5,0.000147
darsa,1,0.000029
darst,1,0.000029
darte,71,0.002094
darti,23,0.000678
dartm,5,0.000147
darts,47,0.001386
darus,1,0.000029
darwi,3,0.000088
darys,1,0.000029
dashb,1,0.000029
dashe,81,0.002389
dashi,28,0.000826
dasim,6,0.000177
dason,1,0.000029
dassa,1,0.000029
dassu,5,0.000147
dasta,1,0.000029
dated,47,0.001386
datel,2,0.000059
daten,2,0.000059
dates,21,0.000619
datha,14,0.000413
dathe,1,0.000029
dathi,5,0.000147
datin,10,0.000295
datio,255,0.007520
dativ,1,0.000029
dator,4,0.000118
datus,3,0.000088
daube,8,0.000236
daubi,2,0.000059
daugh,1178,0.034740
daunt,39,0.001150
dauph,1,0.000029
dauro,1,0.000029
daven,1,0.000029
davia,8,0.000236
david,1230,0.036274
davis,3,0.000088
davit,4,0.000118
davou,42,0.001239
davyd,3,0.000088
dawdl,7,0.000206
dawne,18,0.000531
dawni,13,0.000383
dawso,1,0.000029
daybr,37,0.001091
daydr,6,0.000177
dayli,111,0.003273
daylo,2,0.000059
dayme,2,0.000059
dayor,2,0.000059
dayti,10,0.000295
dazed,20,0.000590
dazer,1,0.000029
dazzl,38,0.001121
dbach,1,0.000029
dbags,9,0.000265
dbake,1,0.000029
dbalk,1,0.000029
dband,1,0.000029
dbank,3,0.000088
dbare,6,0.000177
dbear,11,0.000324
dbeel,2,0.000059
dberr,33,0.000973
dbine,1,0.000029
dbirt,3,0.000088
dboar,8,0.000236
dbodi,2,0.000059
dbody,2,0.000059
dbook,1,0.000029
dbott,1,0.000029
dboun,1,0.000029
dboxe,1,0.000029
dbrea,5,0.000147
dbris,1,0.000029
dbrug,20,0.000590
dbuck,3,0.000088
dbund,5,0.000147
dburg,9,0.000265
dcage,1,0.000029
dcant,2,0.000059
dcart,1,0.000029
dcast,1,0.000029
dcham,11,0.000324
dchen,1,0.000029
dchil,18,0.000531
dchod,2,0.000059
dclot,4,0.000118
dcock,1,0.000029
dcorn,1,0.000029
dcour,6,0.000177
dcraf,2,0.000059
dcrum,1,0.000029
dcrus,3,0.000088
dcuff,7,0.000206
dcuts,2,0.000059
dcutt,1,0.000029
ddanc,2,0.000059
ddaug,6,0.000177
ddeba,1,0.000029
ddelt,2,0.000059
ddene,28,0.000826
ddeni,12,0.000354
ddenl,1278,0.037689
ddenn,13,0.000383
ddens,3,0.000088
ddere,45,0.001327
dderi,33,0.000973
dderm,8,0.000236
dders,45,0.001327
ddess,73,0.002153
ddest,12,0.000354
ddeth,11,0.000324
ddeus,2,0.000059
ddict,5,0.000147
ddied,3,0.000088
ddiel,1,0.000029
ddies,8,0.000236
ddifo,1,0.000029
ddily,1,0.000029
ddine,3,0.000088
dding,318,0.009378
ddins,1,0.000029
ddish,12,0.000354
dditi,112,0.003303
ddity,1,0.000029
ddleb,3,0.000088
ddlec,2,0.000059
ddled,99,0.002920
ddler,14,0.000413
ddles,87,0.002566
ddlet,1,0.000029
ddlin,54,0.001592
ddmen,4,0.000118
ddres,356,0.010499
dduce,20,0.000590
dduci,1,0.000029
ddyin,10,0.000295
ddyst,2,0.000059
deaco,22,0.000649
deade,8,0.000236
deadl,135,0.003981
deadm,3,0.000088
deadn,1,0.000029
deafe,34,0.001003
deafn,1,0.000029
deale,20,0.000590
deali,82,0.002418
deals,20,0.000590
dealt,102,0.003008
deamu,1,0.000029
deans,98,0.002890
deare,53,0.001563
deari,3,0.000088
dearl,69,0.002035
dearm,3,0.000088
dearn,1,0.000029
dears,4,0.000118
deart,3,0.000088
death,1655,0.048807
deaux,4,0.000118
deavo,152,0.004483
debai,1,0.000029
debar,11,0.000324
debas,7,0.000206
debat,85,0.002507
debau,11,0.000324
debba,1,0.000029
debbo,10,0.000295
debel,3,0.000088
debeu,6,0.000177
debil,1,0.000029
debit,2,0.000059
debla,4,0.000118
deboa,4,0.000118
debon,2,0.000059
debor,1,0.000029
debos,1,0.000029
debou,1,0.000029
debre,1,0.000029
debri,1,0.000029
debte,13,0.000383
debto,20,0.000590
debts,39,0.001150
debus,1,0.000029
debut,4,0.000118
decad,8,0.000236
decai,1,0.000029
decam,6,0.000177
decan,24,0.000708
decap,10,0.000295
decar,1,0.000029
decau,3,0.000088
decay,45,0.001327
decea,31,0.000914
decei,448,0.013212
decem,62,0.001828
decen,66,0.001946
decep,42,0.001239
decer,1,0.000029
deces,12,0.000354
decet,2,0.000059
decha,1,0.000029
dechy,1,0.000029
decia,81,0.002389
decid,335,0.009879
decii,1,0.000029
decim,18,0.000531
decip,9,0.000265
decis,119,0.003509
decke,18,0.000531
decki,2,0.000059
decks,26,0.000767
decla,479,0.014126
decle,2,0.000059
decli,107,0.003156
decoc,1,0.000029
decol,2,0.000059
decom,4,0.000118
decor,66,0.001946
decou,11,0.000324
decoy,3,0.000088
decqu,1,0.000029
decra,1,0.000029
decre,148,0.004365
decri,1,0.000029
decry,1,0.000029
dects,1,0.000029
decum,5,0.000147
decur,1,0.000029
dedan,7,0.000206
dedic,76,0.002241
dedly,32,0.000944
dedne,19,0.000560
dedom,20,0.000590
dedst,2,0.000059
deduc,26,0.000767
deean,1,0.000029
deedl,1,0.000029
deeds,212,0.006252
deema,1,0.000029
deeme,140,0.004129
deemi,18,0.000531
deems,1,0.000029
deepe,180,0.005308
deepi,20,0.000590
deepl,113,0.003332
deepn,1,0.000029
deeps,19,0.000560
deere,1,0.000029
deers,1,0.000029
deevs,1,0.000029
defac,4,0.000118
defam,2,0.000059
defat,7,0.000206
defea,203,0.005987
defec,68,0.002005
defen,497,0.014657
defer,52,0.001534
defia,30,0.000885
defic,22,0.000649
defie,13,0.000383
defil,234,0.006901
defin,200,0.005898
defla,1,0.000029
defle,1,0.000029
deflo,4,0.000118
defor,21,0.000619
defra,24,0.000708
defte,2,0.000059
deftl,6,0.000177
deful,2,0.000059
defun,3,0.000088
defyi,5,0.000147
degar,12,0.000354
degen,17,0.000501
deghe,1,0.000029
degil,2,0.000059
degli,2,0.000059
degra,30,0.000885
degre,227,0.006694
degro,50,0.001475
degul,3,0.000088
degwa,1,0.000029
dehoy,1,0.000029
dehul,1,0.000029
deifi,3,0.000088
deign,15,0.000442
deigo,1,0.000029
deiot,1,0.000029
deiph,2,0.000059
deira,3,0.000088
deiti,5,0.000147
deity,20,0.000590
dejec,48,0.001416
dejoc,1,0.000029
delab,2,0.000059
delai,2,0.000059
delan,1,0.000029
delar,2,0.000059
delay,224,0.006606
delbu,9,0.000265
delea,1,0.000029
delec,11,0.000324
deleg,12,0.000354
deles,2,0.000059
delet,4,0.000118
deleu,2,0.000059
delhi,1,0.000029
delia,4,0.000118
delib,125,0.003686
delic,153,0.004512
delie,2,0.000059
delig,481,0.014185
delin,11,0.000324
delir,27,0.000796
delit,70,0.002064
deliv,1160,0.034209
della,6,0.000177
delle,3,0.000088
delli,4,0.000118
dells,7,0.000206
delmo,1,0.000029
delon,19,0.000560
delor,1,0.000029
delos,1,0.000029
delph,9,0.000265
delta,3,0.000088
delth,2,0.000059
delud,16,0.000472
delug,8,0.000236
delus,30,0.000885
delve,26,0.000767
delvi,21,0.000619
demai,2,0.000059
demal,1,0.000029
deman,321,0.009467
demar,13,0.000383
demas,3,0.000088
demea,25,0.000737
demed,1,0.000029
demel,7,0.000206
demen,6,0.000177
demer,1,0.000029
demes,2,0.000059
demet,62,0.001828
demho,1,0.000029
demic,24,0.000708
demie,1,0.000029
demig,4,0.000118
demij,1,0.000029
demis,1,0.000029
demiv,1,0.000029
demki,1,0.000029
demna,20,0.000590
demne,85,0.002507
demni,15,0.000442
demns,6,0.000177
demob,1,0.000029
democ,11,0.000324
demod,16,0.000472
demog,1,0.000029
demoi,142,0.004188
demol,22,0.000649
demon,88,0.002595
demop,4,0.000118
demor,8,0.000236
demos,6,0.000177
demot,2,0.000059
demps,1,0.000029
dempt,47,0.001386
demse,1,0.000029
demur,4,0.000118
demus,7,0.000206
demya,2,0.000059
denab,2,0.000059
denag,15,0.000442
denar,1,0.000029
denbu,36,0.001062
dence,585,0.017252
denci,10,0.000295
denco,4,0.000118
dency,40,0.001180
dende,1,0.000029
dendo,3,0.000088
dends,1,0.000029
dened,139,0.004099
dener,29,0.000855
denes,13,0.000383
denet,146,0.004306
denga,11,0.000324
denha,1,0.000029
denho,1,0.000029
denia,22,0.000649
denie,60,0.001769
denin,42,0.001239
denio,100,0.002949
denis,434,0.012799
deniz,3,0.000088
denly,1280,0.037748
denma,5,0.000147
denne,13,0.000383
denny,1,0.000029
denom,10,0.000295
denot,19,0.000560
denou,35,0.001032
densa,1,0.000029
dense,71,0.002094
densi,3,0.000088
denso,10,0.000295
denta,56,0.001651
dente,13,0.000383
denti,123,0.003627
dentl,489,0.014421
dents,121,0.003568
dentu,9,0.000265
denud,2,0.000059
denun,4,0.000118
denyi,20,0.000590
denze,1,0.000029
deoda,4,0.000118
deolo,15,0.000442
deons,1,0.000029
deoru,1,0.000029
deous,116,0.003421
depar,773,0.022796
depen,280,0.008257
deper,1,0.000029
depic,21,0.000619
deple,4,0.000118
deplo,18,0.000531
depon,2,0.000059
depop,1,0.000029
depor,7,0.000206
depos,45,0.001327
depot,4,0.000118
depra,18,0.000531
depre,87,0.002566
depri,115,0.003391
deptf,1,0.000029
depth,178,0.005249
depts,1,0.000029
depui,1,0.000029
deput,46,0.001357
depwa,1,0.000029
dequa,31,0.000914
derab,138,0.004070
derac,9,0.000265
derah,1,0.000029
deral,2,0.000059
deram,1,0.000029
deran,8,0.000236
derat,207,0.006105
derbe,5,0.000147
derbi,1,0.000029
derbo,16,0.000472
derby,8,0.000236
derch,1,0.000029
dercl,9,0.000265
derco,1,0.000029
dercu,6,0.000177
dered,1702,0.050193
derek,2,0.000059
derer,122,0.003598
deres,10,0.000295
deret,23,0.000678
derfe,3,0.000088
derfo,8,0.000236
derfu,305,0.008995
derga,1,0.000029
dergi,1,0.000029
dergo,37,0.001091
dergr,48,0.001416
derha,1,0.000029
derhe,2,0.000059
derhi,23,0.000678
derho,2,0.000059
deric,30,0.000885
derid,9,0.000265
derie,3,0.000088
derik,1,0.000029
derin,689,0.020319
deris,27,0.000796
derit,1,0.000029
deriv,78,0.002300
derla,20,0.000590
derle,6,0.000177
derli,29,0.000855
derly,162,0.004777
derma,8,0.000236
derme,32,0.000944
dermi,27,0.000796
dermo,2,0.000059
derna,1,0.000029
dernd,2,0.000059
derne,343,0.010115
dernh,17,0.000501
derni,2,0.000059
derns,3,0.000088
derog,4,0.000118
deron,2,0.000059
deros,1,0.000029
derot,5,0.000147
derou,45,0.001327
derpa,2,0.000059
derra,1,0.000029
derry,6,0.000177
derse,2,0.000059
dersh,12,0.000354
dersi,4,0.000118
derst,1944,0.057330
derta,122,0.003598
derto,21,0.000619
deruf,2,0.000059
derva,6,0.000177
dervo,1,0.000029
derwa,1,0.000029
derwe,13,0.000383
derwo,2,0.000059
derwr,2,0.000059
derze,1,0.000029
desba,12,0.000354
desca,7,0.000206
desce,307,0.009054
descr,467,0.013772
desde,1,0.000029
desec,5,0.000147
deser,671,0.019788
deshi,2,0.000059
desho,1,0.000029
desid,1,0.000029
desig,297,0.008759
desil,6,0.000177
desir,1124,0.033148
desis,26,0.000767
desks,1,0.000029
desma,15,0.000442
desme,13,0.000383
desmo,16,0.000472
desol,231,0.006812
despa,312,0.009201
despe,170,0.005013
despi,377,0.011118
despo,35,0.001032
despr,4,0.000118
desqu,1,0.000029
dessa,44,0.001298
desse,18,0.000531
desss,3,0.000088
desta,18,0.000531
desti,126,0.003716
destl,11,0.000324
destr,1484,0.043764
desty,57,0.001681
desul,5,0.000147
detac,125,0.003686
detai,202,0.005957
detec,43,0.001268
deten,1,0.000029
deter,337,0.009938
detes,68,0.002005
dethe,1,0.000029
deton,2,0.000059
detou,1,0.000029
detra,32,0.000944
detri,11,0.000324
detru,1,0.000029
detto,2,0.000059
deuca,2,0.000059
deuce,5,0.000147
deuil,3,0.000088
deute,45,0.001327
devai,1,0.000029
devan,2,0.000059
devas,22,0.000649
devel,84,0.002477
dever,5,0.000147
devia,26,0.000767
devic,123,0.003627
devil,525,0.015483
devio,6,0.000177
devis,97,0.002861
devoi,8,0.000236
devol,6,0.000177
devot,176,0.005190
devou,260,0.007668
devri,1,0.000029
deway,57,0.001681
dewed,4,0.000118
dewel,1,0.000029
dewin,1,0.000029
dewor,2,0.000059
dexte,39,0.001150
dezvo,6,0.000177
dfall,1,0.000029
dfara,3,0.000088
dfast,46,0.001357
dfath,62,0.001828
dfeet,3,0.000088
dfell,7,0.000206
dfinc,1,0.000029
dfire,1,0.000029
dfirs,1,0.000029
dfish,2,0.000059
dfola,2,0.000059
dfold,33,0.000973
dfolk,1,0.000029
dfoot,8,0.000236
dford,19,0.000560
dfore,2,0.000059
dfowl,1,0.000029
dfrey,5,0.000147
dfrui,1,0.000029
dfull,42,0.001239
dfuln,2,0.000059
dfuls,10,0.000295
dgate,2,0.000059
dgcum,1,0.000029
dgeab,1,0.000029
dgefi,1,0.000029
dgefo,1,0.000029
dgeha,1,0.000029
dgehe,3,0.000088
dgeho,3,0.000088
dgell,11,0.000324
dgels,3,0.000088
dgeme,23,0.000678
dgeon,6,0.000177
dgere,1,0.000029
dgeri,2,0.000059
dgero,2,0.000059
dgers,6,0.000177
dgery,6,0.000177
dgesh,1,0.000029
dgest,17,0.000501
dgete,3,0.000088
dgeth,26,0.000767
dgeti,3,0.000088
dgets,1,0.000029
dgety,1,0.000029
dgewa,2,0.000059
dgewi,2,0.000059
dging,168,0.004954
dglas,1,0.000029
dglin,1,0.000029
dgmat,1,0.000029
dgmen,764,0.022531
dgoos,1,0.000029
dgrim,2,0.000059
dhair,1,0.000029
dhall,7,0.000206
dhand,2,0.000059
dhark,1,0.000029
dhead,8,0.000236
dhear,15,0.000442
dheav,1,0.000029
dhell,1,0.000029
dhere,42,0.001239
dheri,7,0.000206
dhesi,2,0.000059
dhill,1,0.000029
dhoek,4,0.000118
dhood,58,0.001710
dhopp,2,0.000059
dhorn,11,0.000324
dhoun,1,0.000029
